word,meaning,image
Do you want to be rich?,お金持ちになりたいですか？,money.png
Do you want to be happy?,幸せになりたいですか？,happy.png
Do you want to be a hairdresser?,美容師になりたいですか？,hairdresser.png
Do you want to be a professional soccer player?,プロサッカー選手になりたいですか？,soccer player.png
Do you want to be a social studies teacher?,社会科の先生になりたいですか？,male teacher.png
Do you want to be like your homeroom teacher?,担任の先生のようになりたいですか？,female teacher.png
Do you want to be like Kazu Miura?,ミウラ カズのようになりたいですか？,soccer player.png
Do you want to be a soccer player like Kazu?,カズのようなプロサッカー選手になりたいですか？,soccer player.png
Do you want to be a teacher like your homeroom teacher?,担任の先生のような先生になりたいですか？,female teacher.png
Do you want to be like our principal?,校長先生のようになりたいですか？,principal.png
Do you want to go to Australia?,オーストラリアに行きたいですか？,Australia.png
Do you want to go to Tokyo?,東京に行きたいですか？,Tokyo.png
Do you want to go to Osaka？,大阪に行きたいですか？,Osaka.png
